1257 - MISSISSAUGA VALLEY BLVD at SILVERCREEK BLVD,1257,3W
1258 - MISSISSAUGA VALLEY BLVD at LOLITA GARDENS,1258,3W
1259 - MISSISSAUGA VALLEY BLVD at CLIFF RD,1259,3W
1260 - MISSISSAUGA VALLEY BLVD at TRISHA DOWNS,1260,3W
1261 - MISSISSAUGA VALLEY BLVD at VOLTAIRE CRES east leg,1261,3W
1262 - MISSISSAUGA VALLEY BLVD at VOLTAIRE CRES west leg,1262,3W
1263 - MISSISSAUGA VALLEY BLVD at FAIRVIEW RD,1263,3W
1264 - MISSISSAUGA VALLEY BLVD at CENTRAL PKY E,1264,3W
0059 - MISSISSAUGA VALLEY BLVD north of CENTRAL PKY E,59,3W
0068 - ELM DR E at OBELISK WAY,68,3W
0069 - ELM DR E at HURONTARIO ST,69,3W
0070 - ELM DR W at KARIYA DR,70,3W
2140 - KARIYA DR north of ENFIELD PLACE (south leg),2140,3W
1975 - KARIYA DR at BURNHAMTHORPE RD,1975,3W
0813 - KARIYA GATE at CITY CENTRE DR,813,3W
0578 - CITY CENTRE DR north of KARIYA GATE,578,3W
1821 - CITY CENTRE DR at ROBERT SPECK PKY,1821,3W
0666 - CITY CENTRE DR at SQUARE ONE DR,666,3W
1403 - CITY CENTRE BUS TERMINAL PLATFORM G,1403,3W
0600 - GLENGARRY RD at DUNDAS ST,600,4E
0672 - CEDARGLEN GATE at PARMEER DR,672,4E
0671 - CEDARGLEN GATE at HEMUS SQUARE,671,4E
0644 - DUNDAS ST at WOLFEDALE RD,644,4E
0645 - DUNDAS ST at MAVIS RD,645,4E
3168 - MAVIS RD at PAISLEY BLVD,3168,4E
0620 - PAISLEY BLVD at MORRISON AVE,620,4E
0630 - PAISLEY BLVD at HURON PARK PLACE,630,4E
0628 - HURON PARK RECREATION CTRE at PAISLEY BLVD W,628,4E
0621 - HURON PARK ACCESS south of PAISLEY BLVD,621,4E
0604 - HURON PARK ACCESS RD at QUEENSWAY,604,4E
0606 - HURON PARK RECREATION CTRE at PAISLEY BLVD W,606,4E
0631 - PAISLEY BLVD at HURON PARK PLACE,631,4E
0607 - PAISLEY BLVD at MORRISON AVE,607,4E
0686 - PAISLEY BLVD at CASHMERE AVE,686,4E
0687 - PAISLEY BLVD at CRYSTALBURN AVE,687,4E
0688 - PAISLEY BLVD at STILLMEADOW RD,688,4E
0693 - PAISLEY BLVD at GOODISON AVE,693,4E
0694 - PAISLEY BLVD at ANTIGUA RD,694,4E
0758 - CONFEDERATION PKY FIRST STOP south of PAISLEY BLVD,758,4E
0759 - CONFEDERATION PKY SECOND south of PAISLEY BLVD,759,4E
2622 - QUEENSWAY at TRILLIUM HOSPITAL,2622,4E
0703 - PAISLEY BLVD east of HURONTARIO ST,703,4E
0756 - PAISLEY BLVD at CAMILLA RD,756,4E
0704 - CAMILLA RD at QUEENSWAY,704,4E
0760 - CAMILLA RD at CAMILLA PLACE,760,4E
0705 - CAMILLA RD at CHERRY POST DR,705,4E
0706 - CAMILLA RD south of PATHFINDER DR,706,4E
0707 - CAMILLA RD at NORTH SERVICE RD,707,4E
0710 - CLIFF RD at NORTH SERVICE RD,710,4E
0711 - CLIFF RD at PATHFINDER DR,711,4E
0712 - TEDWYN DR at CHANTENAY DR,712,4E
0713 - TEDWYN DR at MUNDEN RD,713,4E
0714 - TEDWYN DR at HENSALL ST,714,4E
0716 - ASTA DR at BOISMERE CRT,716,4E
0729 - ASTA DR at NORTH SERVICE RD,729,4E
0730 - NORTH SERVICE RD at CAWTHRA RD,730,4E
0400 - NORTH SERVICE RD at ANNAPOLIS AVE,400,4E
0402 - NORTH SERVICE RD at INSLEY RD,402,4E
0403 - NORTH SERVICE RD at STANFIELD RD,403,4E
0405 - NORTH SERVICE RD at HARVEST DR,405,4E
0426 - DIXIE MALL BUS TERMINAL PLATFORM B,426,4E
0407 - SOUTH SERVICE RD at LIVE OAK DR,407,4E
9097 - SHERWAY GATE south of SHERWAY GDNS BTER,9097,4E
9058 - SHERWAY GARDENS BUS TERMINAL,9058,4E
9058 - SHERWAY GARDENS BUS TERMINAL,9058,4W
9060 - THE WEST MALL south of The QUEENSWAY,9060,4W
0422 - QUEENSWAY at THE WEST MALL,422,4W
1399 - QUEENSWAY at DIXIE RD,1399,4W
0423 - DIXIE RD at KENDALL RD,423,4W
0424 - DIXIE RD at PRIMATE RD,424,4W
0461 - DIXIE MALL BUS TERMINAL PLATFORM A,461,4W
0409 - NORTH SERVICE RD at HARVEST DR,409,4W
0410 - NORTH SERVICE RD at TOLMAN RD,410,4W
0411 - NORTH SERVICE RD at STANFIELD RD,411,4W
0412 - NORTH SERVICE RD at INSLEY RD,412,4W
0413 - NORTH SERVICE RD at REDAN DR,413,4W
0414 - NORTH SERVICE RD at ANNAPOLIS AVE,414,4W
0415 - NORTH SERVICE RD at CAWTHRA RD,415,4W
0731 - ASTA DR at NORTH SERVICE RD,731,4W
0732 - ASTA DR at ABANA RD,732,4W
0733 - TEDWYN DR at FELINA CRT,733,4W
0734 - TEDWYN DR at CHANTENAY DR,734,4W
0735 - TEDWYN DR at MUNDEN RD,735,4W
0736 - TEDWYN DR at CLIFF RD,736,4W
0737 - CLIFF RD at PATHFINDER DR,737,4W
0738 - CLIFF RD at NORTH SERVICE RD,738,4W
0739 - NORTH SERVICE RD west of CLIFF RD,739,4W
0740 - CAMILLA RD at NORTH SERVICE RD,740,4W
0741 - CAMILLA RD at PATHFINDER DR,741,4W
0742 - CAMILLA RD at CHERRY POST DR,742,4W
0761 - CAMILLA RD at CAMILLA PLACE,761,4W
0743 - CAMILLA RD at DAPHNE AVE,743,4W
0744 - PAISLEY BLVD at CAMILLA RD,744,4W
0745 - PAISLEY BLVD at SHEPARD AVE,745,4W
0746 - PAISLEY BLVD at HURONTARIO ST,746,4W
0723 - HURONTARIO ST at QUEENSWAY,723,4W
3198 - QUEENSWAY at CONFEDERATION PKY,3198,4W
0700 - CONFEDERATION PKY north of QUEENSWAY,700,4W
2332 - PAISLEY BLVD at CONFEDERATION PKY,2332,4W
0695 - PAISLEY BLVD at ANTIGUA RD,695,4W
0696 - PAISLEY BLVD at MASON HEIGHTS,696,4W
0697 - PAISLEY BLVD at STILLMEADOW RD,697,4W
0698 - PAISLEY BLVD at CRYSTALBURN AVE,698,4W
0699 - PAISLEY BLVD at PALISANDER AVE,699,4W
0702 - PAISLEY BLVD at MAVIS RD,702,4W
0620 - PAISLEY BLVD at MORRISON AVE,620,4W
0630 - PAISLEY BLVD at HURON PARK PLACE,630,4W
0628 - HURON PARK RECREATION CTRE at PAISLEY BLVD W,628,4W
0621 - HURON PARK ACCESS south of PAISLEY BLVD,621,4W
0604 - HURON PARK ACCESS RD at QUEENSWAY,604,4W
0606 - HURON PARK RECREATION CTRE at PAISLEY BLVD W,606,4W
0631 - PAISLEY BLVD at HURON PARK PLACE,631,4W
