9097 - SHERWAY GATE south of SHERWAY GDNS BTER,9097
9058 - SHERWAY GARDENS BUS TERMINAL,9058
9060 - THE WEST MALL south of The QUEENSWAY,9060
0422 - QUEENSWAY at THE WEST MALL,422
1399 - QUEENSWAY at DIXIE RD,1399
0423 - DIXIE RD at KENDALL RD,423
0424 - DIXIE RD at PRIMATE RD,424
0461 - DIXIE MALL BUS TERMINAL PLATFORM A,461
0409 - NORTH SERVICE RD at HARVEST DR,409
0410 - NORTH SERVICE RD at TOLMAN RD,410
0411 - NORTH SERVICE RD at STANFIELD RD,411
0412 - NORTH SERVICE RD at INSLEY RD,412
0413 - NORTH SERVICE RD at REDAN DR,413
0414 - NORTH SERVICE RD at ANNAPOLIS AVE,414
0415 - NORTH SERVICE RD at CAWTHRA RD,415
0731 - ASTA DR at NORTH SERVICE RD,731
0732 - ASTA DR at ABANA RD,732
0733 - TEDWYN DR at FELINA CRT,733
0734 - TEDWYN DR at CHANTENAY DR,734
0735 - TEDWYN DR at MUNDEN RD,735
0736 - TEDWYN DR at CLIFF RD,736
0737 - CLIFF RD at PATHFINDER DR,737
0738 - CLIFF RD at NORTH SERVICE RD,738
0739 - NORTH SERVICE RD west of CLIFF RD,739
0740 - CAMILLA RD at NORTH SERVICE RD,740
0741 - CAMILLA RD at PATHFINDER DR,741
0742 - CAMILLA RD at CHERRY POST DR,742
0761 - CAMILLA RD at CAMILLA PLACE,761
0743 - CAMILLA RD at DAPHNE AVE,743
0744 - PAISLEY BLVD at CAMILLA RD,744
0745 - PAISLEY BLVD at SHEPARD AVE,745
0746 - PAISLEY BLVD at HURONTARIO ST,746
0723 - HURONTARIO ST at QUEENSWAY,723
3198 - QUEENSWAY at CONFEDERATION PKY,3198
0700 - CONFEDERATION PKY north of QUEENSWAY,700
2332 - PAISLEY BLVD at CONFEDERATION PKY,2332
0695 - PAISLEY BLVD at ANTIGUA RD,695
0696 - PAISLEY BLVD at MASON HEIGHTS,696
0697 - PAISLEY BLVD at STILLMEADOW RD,697
0698 - PAISLEY BLVD at CRYSTALBURN AVE,698
0699 - PAISLEY BLVD at PALISANDER AVE,699
0702 - PAISLEY BLVD at MAVIS RD,702
0446 - LONG BRANCH GO STATION,446
0471 - LAKESHORE RD at FORTY-THIRD ST,471
0447 - LAKESHORE RD west of FORTY-THIRD ST,447
0448 - LAKESHORE RD E at DETA RD,448
0408 - LAKESHORE RD E at DIXIE RD,408
0450 - LAKESHORE RD E west of FERGUS AVE,450
0451 - LAKESHORE RD E at HAIG BLVD,451
2745 - LAKESHORE RD E at HYDRO RD,2745
0452 - LAKESHORE RD E at OGDEN AVE,452
0469 - OGDEN AVE at GARDNER AVE,469
0468 - OGDEN AVE at PELHAM AVE,468
0467 - OGDEN AVE at ATWATER AVE,467
0449 - OGDEN AVE at DELCO AVE,449
0466 - OGDEN AVE at STRATHY AVE,466
0465 - OGDEN AVE north of STRATHY AVE,465
0464 - OGDEN AVE at SOUTH SERVICE RD,464
0463 - SOUTH SERVICE RD at APPLEWOOD RD,463
0462 - SOUTH SERVICE RD at HAIG BLVD,462
0470 - SOUTH SERVICE RD at DIXIE MALL ACCESS,470
0459 - DIXIE RD at SHERWAY DR,459
0458 - DIXIE RD at KENDALL RD,458
0879 - DIXIE RD at CATERPILLAR RD,879
0880 - DIXIE RD at BLUNDELL RD,880
1091 - DIXIE RD at DUNDAS ST,1091
1355 - DIXIE RD FIRST STOP north of DUNDAS ST,1355
1364 - DIXIE RD SECOND STOP north of DUNDAS ST,1364
1356 - DIXIE RD at GOLDEN ORCHARD RD,1356
1357 - DIXIE RD at BLOOR ST,1357
1358 - DIXIE RD at WINDING TRAIL,1358
1359 - DIXIE RD at BURNHAMTHORPE RD,1359
1550 - DIXIE RD at ROCKWOOD MALL,1550
1549 - DIXIE RD at RATHBURN RD,1549
1548 - DIXIE RD at HICKORY DR,1548
3122 - DIXIE RD at DIXIE STATION,3122
2047 - DIXIE RD at SOUTH GATEWAY RD,2047
2046 - DIXIE RD at CRESTLAWN DR,2046
2045 - DIXIE RD at EGLINTON AVE,2045
2043 - DIXIE RD at AIMCO BLVD,2043
2042 - DIXIE RD north of AIMCO BLVD,2042
2041 - DIXIE RD at MATHESON BLVD,2041
2040 - DIXIE RD at AEROWOOD DR,2040
2638 - DIXIE RD at SHAWSON DR,2638
2637 - DIXIE RD at BRITANNIA RD,2637
2501 - DIXIE RD north of BRITANNIA RD,2501
2655 - DIXIE RD at TRINITY DR,2655
2502 - DIXIE RD at MEYERSIDE DR,2502
2503 - DIXIE RD at COURTNEYPARK DR,2503
2504 - DIXIE RD north of COURTNEYPARK DR,2504
0886 - MID-WAY BLVD at DAVAND DR,886
1004 - MID-WAY BLVD west of DAVAND DR,1004
0925 - COLUMBUS RD FIRST STOP north of MID-WAY BLVD,925
0941 - COLUMBUS RD SECOND STOP north of MID-WAY BLVD,941
0942 - COLUMBUS RD THIRD STOP north of MID-WAY BLVD,942
0966 - COLUMBUS RD south of DAVAND DR,966
0967 - COLUMBUS RD at DERRY RD,967
2493 - CARDIFF BLVD at KHALSA DR,2493
2509 - CARDIFF BLVD at TRANSMARK CRT,2509
2591 - CARDIFF BLVD east of TOMKEN RD,2591
5100 - LORIMAR DR at CARDIFF BLVD,5100
2481 - LORIMAR DR south of CARDIFF BLVD,2481
2482 - LORIMAR DR at MAXWELL RD,2482
2492 - LORIMAR DR east of MAXWELL RD,2492
1832 - LORIMAR DR at CARDIFF BLVD,1832
1890 - COLUMBUS RD south of DERRY RD,1890
1891 - COLUMBUS RD FIRST STOP south of DAVAND DR,1891
0978 - COLUMBUS RD SECOND STOP south of DAVAND DR,978
1892 - COLUMBUS RD THIRD STOP south of DAVAND DR,1892
1893 - COLUMBUS RD north of MID-WAY BLVD,1893
0999 - MID-WAY BLVD east of COLUMBUS RD,999
1894 - MID-WAY BLVD at DAVAND DR,1894
1895 - MID-WAY BLVD at DIXIE RD,1895
0309 - DIXIE RD south of MID-WAY BLVD,309
2520 - DIXIE RD at COURTNEYPARK DR,2520
2521 - DIXIE RD at MEYERSIDE DR,2521
2687 - DIXIE RD at TRINITY DR,2687
2522 - DIXIE RD south of TRINITY DR,2522
2606 - DIXIE RD at BRITANNIA RD,2606
2605 - DIXIE RD at SHAWSON DR,2605
2003 - DIXIE RD at AEROWOOD DR,2003
2004 - DIXIE RD at MATHESON BLVD,2004
2005 - DIXIE RD south of MATHESON BLVD,2005
2007 - DIXIE RD at AIMCO BLVD,2007
2008 - DIXIE RD at EGLINTON AVE,2008
2010 - DIXIE RD at CRESTLAWN DR,2010
2011 - DIXIE RD at SOUTH GATEWAY RD,2011
3144 - DIXIE RD at DIXIE STATION,3144
1512 - DIXIE RD at HICKORY DR,1512
1513 - DIXIE RD at RATHBURN RD,1513
1514 - DIXIE RD south of RATHBURN RD,1514
1315 - DIXIE RD at BURNHAMTHORPE RD,1315
1316 - DIXIE RD at WINDING TRAIL,1316
1317 - DIXIE RD at BLOOR ST,1317
1318 - DIXIE RD at GOLDEN ORCHARD DR,1318
1300 - DIXIE RD south of GOLDEN ORCHARD DR,1300
1319 - DIXIE RD north of DUNDAS ST,1319
0820 - DIXIE RD at DUNDAS ST,820
0821 - DIXIE RD at BLUNDELL RD,821
0822 - DIXIE RD at ERNEST SAMUEL DR,822
0428 - SOUTH SERVICE RD at DIXIE MALL NORTH ACCESS,428
0427 - SOUTH SERVICE RD at HAIG BLVD,427
0429 - OGDEN AVE at SOUTH SERVICE RD,429
